,payment_type,payment_type_id,payment_type_name
296,2,296,Cash
297,1,297,Credit card
298,2,298,Cash
299,2,299,Cash
300,1,300,Credit card
301,2,301,Cash
302,1,302,Credit card
303,1,303,Credit card
304,1,304,Credit card
305,2,305,Cash
306,1,306,Credit card
307,1,307,Credit card
308,1,308,Credit card
309,1,309,Credit card
310,1,310,Credit card
311,2,311,Cash
312,1,312,Credit card
313,1,313,Credit card
314,1,314,Credit card
315,2,315,Cash
316,2,316,Cash
317,1,317,Credit card
318,1,318,Credit card
319,1,319,Credit card
320,1,320,Credit card
321,1,321,Credit card
322,1,322,Credit card
323,1,323,Credit card
324,1,324,Credit card
325,1,325,Credit card
326,2,326,Cash
327,1,327,Credit card
328,2,328,Cash
329,2,329,Cash
330,1,330,Credit card
331,1,331,Credit card
332,2,332,Cash
333,1,333,Credit card
334,1,334,Credit card
335,1,335,Credit card
336,1,336,Credit card
337,1,337,Credit card
338,1,338,Credit card
339,1,339,Credit card
340,1,340,Credit card
341,2,341,Cash
342,1,342,Credit card
343,1,343,Credit card
344,1,344,Credit card
345,1,345,Credit card
346,1,346,Credit card
347,2,347,Cash
348,1,348,Credit card
349,1,349,Credit card
350,1,350,Credit card
351,1,351,Credit card
352,2,352,Cash
353,1,353,Credit card
354,2,354,Cash
355,1,355,Credit card
356,1,356,Credit card
357,2,357,Cash
358,2,358,Cash
359,1,359,Credit card
360,1,360,Credit card
361,1,361,Credit card
362,1,362,Credit card
363,2,363,Cash
364,2,364,Cash
365,1,365,Credit card
366,1,366,Credit card
367,1,367,Credit card
368,1,368,Credit card
369,1,369,Credit card
370,1,370,Credit card
371,1,371,Credit card
372,2,372,Cash
373,1,373,Credit card
374,1,374,Credit card
375,1,375,Credit card
376,1,376,Credit card
377,1,377,Credit card
378,2,378,Cash
379,1,379,Credit card
380,1,380,Credit card
381,1,381,Credit card
382,2,382,Cash
383,1,383,Credit card
384,1,384,Credit card
385,1,385,Credit card
386,2,386,Cash
387,1,387,Credit card
388,1,388,Credit card
389,2,389,Cash
390,1,390,Credit card
391,1,391,Credit card
392,1,392,Credit card
393,1,393,Credit card
394,2,394,Cash
395,1,395,Credit card
396,1,396,Credit card
397,1,397,Credit card
398,1,398,Credit card
399,2,399,Cash
400,1,400,Credit card
401,2,401,Cash
402,2,402,Cash
403,1,403,Credit card
404,1,404,Credit card
405,2,405,Cash
406,2,406,Cash
407,3,407,No charge
408,1,408,Credit card
409,2,409,Cash
410,1,410,Credit card
411,1,411,Credit card
412,2,412,Cash
413,2,413,Cash
414,2,414,Cash
415,1,415,Credit card
416,2,416,Cash
417,1,417,Credit card
418,1,418,Credit card
419,1,419,Credit card
420,1,420,Credit card
421,1,421,Credit card
422,1,422,Credit card
423,1,423,Credit card
424,1,424,Credit card
425,1,425,Credit card
426,1,426,Credit card
427,2,427,Cash
428,1,428,Credit card
429,1,429,Credit card
430,1,430,Credit card
431,1,431,Credit card
432,1,432,Credit card
433,1,433,Credit card
434,2,434,Cash
435,2,435,Cash
436,1,436,Credit card
437,1,437,Credit card
438,1,438,Credit card
439,1,439,Credit card
440,2,440,Cash
441,1,441,Credit card
442,2,442,Cash
443,1,443,Credit card
444,1,444,Credit card
445,1,445,Credit card
446,1,446,Credit card
447,1,447,Credit card
448,1,448,Credit card
449,2,449,Cash
450,1,450,Credit card
451,1,451,Credit card
452,1,452,Credit card
453,1,453,Credit card
454,1,454,Credit card
455,1,455,Credit card
456,1,456,Credit card
457,1,457,Credit card
458,1,458,Credit card
459,1,459,Credit card
460,2,460,Cash
461,1,461,Credit card
462,1,462,Credit card
463,1,463,Credit card
464,2,464,Cash
465,1,465,Credit card
466,1,466,Credit card
467,1,467,Credit card
468,1,468,Credit card
469,1,469,Credit card
470,1,470,Credit card
471,1,471,Credit card
472,2,472,Cash
473,2,473,Cash
474,1,474,Credit card
475,1,475,Credit card
476,1,476,Credit card
477,1,477,Credit card
478,1,478,Credit card
479,1,479,Credit card
480,1,480,Credit card
481,1,481,Credit card
482,1,482,Credit card
483,1,483,Credit card
484,1,484,Credit card
485,1,485,Credit card
486,1,486,Credit card
487,1,487,Credit card
488,1,488,Credit card
489,1,489,Credit card
490,1,490,Credit card
491,1,491,Credit card
492,1,492,Credit card
493,1,493,Credit card
494,2,494,Cash
495,1,495,Credit card
496,1,496,Credit card
497,1,497,Credit card
498,2,498,Cash
499,1,499,Credit card
500,2,500,Cash
501,1,501,Credit card
502,1,502,Credit card
503,1,503,Credit card
504,1,504,Credit card
505,2,505,Cash
506,1,506,Credit card
507,1,507,Credit card
508,1,508,Credit card
509,1,509,Credit card
510,1,510,Credit card
511,1,511,Credit card
512,2,512,Cash
513,2,513,Cash
514,1,514,Credit card
515,1,515,Credit card
516,2,516,Cash
517,2,517,Cash
518,2,518,Cash
519,1,519,Credit card
520,2,520,Cash
521,1,521,Credit card
522,2,522,Cash
523,1,523,Credit card
524,1,524,Credit card
525,1,525,Credit card
526,2,526,Cash
527,2,527,Cash
528,1,528,Credit card
529,1,529,Credit card
530,2,530,Cash
531,1,531,Credit card
532,2,532,Cash
533,2,533,Cash
534,1,534,Credit card
535,1,535,Credit card
536,1,536,Credit card
537,1,537,Credit card
538,1,538,Credit card
539,1,539,Credit card
540,2,540,Cash
541,1,541,Credit card
542,2,542,Cash
543,1,543,Credit card
544,1,544,Credit card
545,1,545,Credit card
546,1,546,Credit card
547,2,547,Cash
548,1,548,Credit card
549,1,549,Credit card
550,1,550,Credit card
551,1,551,Credit card
552,1,552,Credit card
553,1,553,Credit card
554,1,554,Credit card
555,1,555,Credit card
556,2,556,Cash
557,2,557,Cash
558,1,558,Credit card
559,1,559,Credit card
560,1,560,Credit card
561,1,561,Credit card
562,1,562,Credit card
563,1,563,Credit card
564,2,564,Cash
565,1,565,Credit card
566,1,566,Credit card
567,1,567,Credit card
568,2,568,Cash
569,1,569,Credit card
570,1,570,Credit card
571,1,571,Credit card
572,2,572,Cash
573,1,573,Credit card
574,2,574,Cash
575,1,575,Credit card
576,1,576,Credit card
577,1,577,Credit card
578,1,578,Credit card
579,1,579,Credit card
580,1,580,Credit card
581,1,581,Credit card
582,1,582,Credit card
583,1,583,Credit card
584,1,584,Credit card
585,2,585,Cash
586,1,586,Credit card
587,2,587,Cash
588,1,588,Credit card
589,1,589,Credit card
590,1,590,Credit card
591,1,591,Credit card
592,2,592,Cash
593,1,593,Credit card
594,1,594,Credit card
